Budget Item Code,Georgian Name,Budget Item Type,English Translation
23 00,საქართველოს ფინანსთა სამინისტრო,SpendingAgency,The Ministry of Finance
32 02 11,საჯარო სკოლის მოსწავლეების ტრანსპორტით უზრუნველყოფა,Program,Transportation Provision For Public School Students
34 00,საქართველოს ოკუპირებული ტერიტორიებიდან იძულებით გადაადგილებულ პირთა განსახლებისა და ლტოლვილთა სამინისტრო,SpendingAgency,"Ministry OF Internally Displaced Persons From The Occupied Territories, Accommodation And Refugees Of Georgia"
09 01,საერთო სასამართლოების სისტემის განვითარება და ხელშეწყობა,Program,Development And Stimulation Of General Court System
53 10,საქართველოს სახელმწიფო ჯილდოებისათვის დაწესებული ერთდროული ფულადი პრემიების გაცემის ფინანსური უზრუნველყოფა,Program,Financial Support Of Monetary State Rewards 
36 01 01,ენერგეტიკის სამინისტროს აპარატი,SpendingAgency,"Office of the Ministry of Energy
"
35 01,შრომის ჯანმრთელობისა და სოციალური დაცვის პროგრამების მართვა,Program,"Labor, Health and Social Security Program Management"
32 02 03,უსაფრთხო საგანმანათლებლო გარემოს უზრუნველყოფა,Program,Safe Education Environment
32 02 08,ოკუპირებული რეგიონების პედაგოგებისა და ადმინისტრაციულ ტექნიკური პერსონალის ფინანსური დახმარება,Program,Financial Support To Teachers And Administrative- Technical Personnel Of Occupied Regions
30 03,სამართალდამცავი სტრუქტურებისათვის მაღალკვალიფიციური კადრების მომზადება გადამზადება და სასწავლო პროცესის ხელშეწყობა,Program,Training And Retraining Of Highly Qualified Staff For Law Enforcement Bodies And Stimulation Of Education Process
58 05,საქართველოს პრეზიდენტის სარეზერვო ფონდი,Program,Presidential Reserve Fund
49 04 01 01,აფხაზეთის ავტონომიური რესპუბლიკისათვის გადასაცემი ტრანსფერი,Program,Transfer for Autonomous Republic Of Abkhazia 
25 02,საგზაო ინფრასტრუქტურის გაუმჯობესების ღონისძიებები,Program,Road Infrastructure Development Measures
32 05,საგანმანათლებლო დაწესებულებათა ინფრასტრუქტურის განვითარება,Program,Development Of Education Facility Infrastructure
29 03,საქართველოს თავდაცვის სამინისტროს პერსონალის ჯანმრთელობის დაცვა და სოციალური უზრუნველყოფა,Program,Healthcare and Social Security of Employees of the Ministry of Defense of Georgia
